frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.flags.ack,tcp.flags.syn,tcp.flags.fin,udp.srcport,udp.dstport,udp.length,icmp.type,icmp.code,ip.proto,tcp.len,ip.len
"Mar 29, 2024 10:48:41.730905000 EDT","192.168.1.76","192.168.1.71","36334","22","True","False","False",,,,,,"6","36","88"
"Mar 29, 2024 10:48:41.731148000 EDT","192.168.1.71","192.168.1.76","22","36334","True","False","False",,,,,,"6","36","88"
"Mar 29, 2024 10:48:41.751734000 EDT","192.168.1.76","192.168.1.71","36334","22","True","False","False",,,,,,"6","36","88"
"Mar 29, 2024 10:48:41.752178000 EDT","192.168.1.71","192.168.1.76","22","36334","True","False","False",,,,,,"6","36","88"
"Mar 29, 2024 10:48:41.760962000 EDT","192.168.1.64","224.0.0.251",,,,,,"5353","5353","101",,,"17",,"121"
"Mar 29, 2024 10:48:41.772503000 EDT","192.168.1.76","192.168.1.71","36334","22","True","False","False",,,,,,"6","36","88"
"Mar 29, 2024 10:48:41.772672000 EDT","192.168.1.71","192.168.1.76","22","36334","True","False","False",,,,,,"6","36","88"
"Mar 29, 2024 10:48:41.775593000 EDT","202.28.95.174","192.168.1.71","80","38370","True","False","False",,,,,,"6","2800","2852"
"Mar 29, 2024 10:48:41.775595000 EDT","202.28.95.174","192.168.1.71","80","38370","True","False","False",,,,,,"6","2800","2852"
"Mar 29, 2024 10:48:41.775595000 EDT","202.28.95.174","192.168.1.71","80","38370","True","False","False",,,,,,"6","2800","2852"
"Mar 29, 2024 10:48:41.775596000 EDT","202.28.95.174","192.168.1.71","80","38370","True","False","False",,,,,,"6","2800","2852"
"Mar 29, 2024 10:48:41.775683000 EDT","202.28.95.174","192.168.1.71","80","38370","True","False","False",,,,,,"6","2800","2852"
"Mar 29, 2024 10:48:41.775711000 EDT","202.28.95.174","192.168.1.71","80","38370","True","False","False",,,,,,"6","2800","2852"
"Mar 29, 2024 10:48:41.775712000 EDT","202.28.95.174","192.168.1.71","80","38370","True","False","False",,,,,,"6","2800","2852"
"Mar 29, 2024 10:48:41.775713000 EDT","202.28.95.174","192.168.1.71","80","38370","True","False","False",,,,,,"6","1400","1452"
"Mar 29, 2024 10:48:41.775808000 EDT","192.168.1.71","202.28.95.174","38370","80","True","False","False",,,,,,"6","0","52"
"Mar 29, 2024 10:48:41.775916000 EDT","202.28.95.174","192.168.1.71","80","38370","True","False","False",,,,,,"6","1400","1452"
