frame.number,frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.len,tcp.flags.ack,tcp.flags.syn,tcp.flags.fin,udp.srcport,udp.dstport,udp.length,icmp.type,icmp.code
"51","Mar 29, 2024 07:11:08.506253000 EDT","192.168.42.4","192.168.40.121","38032","22","36","True","False","False",,,,,
"52","Mar 29, 2024 07:11:08.506451000 EDT","192.168.40.121","192.168.42.4","22","38032","36","True","False","False",,,,,
"53","Mar 29, 2024 07:11:08.527646000 EDT","192.168.42.4","192.168.40.121","38032","22","36","True","False","False",,,,,
"54","Mar 29, 2024 07:11:08.527864000 EDT","192.168.40.121","192.168.42.4","22","38032","36","True","False","False",,,,,
"55","Mar 29, 2024 07:11:08.547806000 EDT","192.168.42.4","192.168.40.121","38032","22","36","True","False","False",,,,,
"56","Mar 29, 2024 07:11:08.548011000 EDT","192.168.40.121","192.168.42.4","22","38032","36","True","False","False",,,,,
"57","Mar 29, 2024 07:11:08.568526000 EDT","192.168.42.4","192.168.40.121","38032","22","36","True","False","False",,,,,
"58","Mar 29, 2024 07:11:08.568747000 EDT","192.168.40.121","192.168.42.4","22","38032","36","True","False","False",,,,,
"59","Mar 29, 2024 07:11:08.589908000 EDT","192.168.42.4","192.168.40.121","38032","22","36","True","False","False",,,,,
"60","Mar 29, 2024 07:11:08.590359000 EDT","192.168.40.121","192.168.42.4","22","38032","36","True","False","False",,,,,
"61","Mar 29, 2024 07:11:08.610126000 EDT","192.168.42.4","192.168.40.121","38032","22","36","True","False","False",,,,,
"62","Mar 29, 2024 07:11:08.610351000 EDT","192.168.40.121","192.168.42.4","22","38032","36","True","False","False",,,,,
"63","Mar 29, 2024 07:11:08.630772000 EDT","192.168.42.4","192.168.40.121","38032","22","36","True","False","False",,,,,
"64","Mar 29, 2024 07:11:08.630975000 EDT","192.168.40.121","192.168.42.4","22","38032","36","True","False","False",,,,,
"65","Mar 29, 2024 07:11:08.651832000 EDT","192.168.42.4","192.168.40.121","38032","22","36","True","False","False",,,,,
"66","Mar 29, 2024 07:11:08.652006000 EDT","192.168.40.121","192.168.42.4","22","38032","36","True","False","False",,,,,
"67","Mar 29, 2024 07:11:08.671896000 EDT","192.168.42.4","192.168.40.121","38032","22","36","True","False","False",,,,,
"68","Mar 29, 2024 07:11:08.672099000 EDT","192.168.40.121","192.168.42.4","22","38032","36","True","False","False",,,,,
"69","Mar 29, 2024 07:11:08.693409000 EDT","192.168.42.4","192.168.40.121","38032","22","36","True","False","False",,,,,
"70","Mar 29, 2024 07:11:08.693619000 EDT","192.168.40.121","192.168.42.4","22","38032","36","True","False","False",,,,,
"71","Mar 29, 2024 07:11:08.714088000 EDT","192.168.42.4","192.168.40.121","38032","22","36","True","False","False",,,,,
"72","Mar 29, 2024 07:11:08.714388000 EDT","192.168.40.121","192.168.42.4","22","38032","36","True","False","False",,,,,
"73","Mar 29, 2024 07:11:08.734566000 EDT","192.168.42.4","192.168.40.121","38032","22","36","True","False","False",,,,,
"74","Mar 29, 2024 07:11:08.734760000 EDT","192.168.40.121","192.168.42.4","22","38032","36","True","False","False",,,,,
"75","Mar 29, 2024 07:11:08.755504000 EDT","192.168.42.4","192.168.40.121","38032","22","36","True","False","False",,,,,
"76","Mar 29, 2024 07:11:08.755700000 EDT","192.168.40.121","192.168.42.4","22","38032","36","True","False","False",,,,,
"77","Mar 29, 2024 07:11:08.776444000 EDT","192.168.42.4","192.168.40.121","38032","22","36","True","False","False",,,,,
"78","Mar 29, 2024 07:11:08.776626000 EDT","192.168.40.121","192.168.42.4","22","38032","36","True","False","False",,,,,
"79","Mar 29, 2024 07:11:08.783253000 EDT",,,,,,,,,,,,,
"80","Mar 29, 2024 07:11:08.797847000 EDT","192.168.42.4","192.168.40.121","38032","22","36","True","False","False",,,,,
"81","Mar 29, 2024 07:11:08.798043000 EDT","192.168.40.121","192.168.42.4","22","38032","36","True","False","False",,,,,
"82","Mar 29, 2024 07:11:08.818094000 EDT","192.168.42.4","192.168.40.121","38032","22","36","True","False","False",,,,,
"83","Mar 29, 2024 07:11:08.818351000 EDT","192.168.40.121","192.168.42.4","22","38032","36","True","False","False",,,,,
"84","Mar 29, 2024 07:11:08.838262000 EDT","192.168.42.4","192.168.40.121","38032","22","36","True","False","False",,,,,
"85","Mar 29, 2024 07:11:08.838459000 EDT","192.168.40.121","192.168.42.4","22","38032","36","True","False","False",,,,,
"86","Mar 29, 2024 07:11:08.859270000 EDT","192.168.42.4","192.168.40.121","38032","22","36","True","False","False",,,,,
"87","Mar 29, 2024 07:11:08.859455000 EDT","192.168.40.121","192.168.42.4","22","38032","36","True","False","False",,,,,
"88","Mar 29, 2024 07:11:08.880254000 EDT","192.168.42.4","192.168.40.121","38032","22","36","True","False","False",,,,,
"89","Mar 29, 2024 07:11:08.880434000 EDT","192.168.40.121","192.168.42.4","22","38032","36","True","False","False",,,,,
"90","Mar 29, 2024 07:11:08.901121000 EDT","192.168.42.4","192.168.40.121","38032","22","36","True","False","False",,,,,
"91","Mar 29, 2024 07:11:08.901345000 EDT","192.168.40.121","192.168.42.4","22","38032","36","True","False","False",,,,,
"92","Mar 29, 2024 07:11:08.922738000 EDT","192.168.42.4","192.168.40.121","38032","22","36","True","False","False",,,,,
"93","Mar 29, 2024 07:11:08.922916000 EDT","192.168.40.121","192.168.42.4","22","38032","36","True","False","False",,,,,
"94","Mar 29, 2024 07:11:08.944405000 EDT","192.168.42.4","192.168.40.121","38032","22","36","True","False","False",,,,,
"95","Mar 29, 2024 07:11:08.944695000 EDT","192.168.40.121","192.168.42.4","22","38032","36","True","False","False",,,,,
"96","Mar 29, 2024 07:11:08.966225000 EDT","192.168.42.4","192.168.40.121","38032","22","36","True","False","False",,,,,
"97","Mar 29, 2024 07:11:08.966394000 EDT","192.168.40.121","192.168.42.4","22","38032","36","True","False","False",,,,,
"98","Mar 29, 2024 07:11:08.986380000 EDT","192.168.42.4","192.168.40.121","38032","22","36","True","False","False",,,,,
"99","Mar 29, 2024 07:11:08.986553000 EDT","192.168.40.121","192.168.42.4","22","38032","36","True","False","False",,,,,
"100","Mar 29, 2024 07:11:09.007482000 EDT","192.168.42.4","192.168.40.121","38032","22","36","True","False","False",,,,,
"101","Mar 29, 2024 07:11:09.007669000 EDT","192.168.40.121","192.168.42.4","22","38032","36","True","False","False",,,,,
"102","Mar 29, 2024 07:11:09.027383000 EDT","192.168.42.4","192.168.40.121","38032","22","36","True","False","False",,,,,
"103","Mar 29, 2024 07:11:09.027571000 EDT","192.168.40.121","192.168.42.4","22","38032","36","True","False","False",,,,,
"104","Mar 29, 2024 07:11:09.048208000 EDT","192.168.42.4","192.168.40.121","38032","22","36","True","False","False",,,,,
"105","Mar 29, 2024 07:11:09.048385000 EDT","192.168.40.121","192.168.42.4","22","38032","36","True","False","False",,,,,
"106","Mar 29, 2024 07:11:09.069936000 EDT","192.168.42.4","192.168.40.121","38032","22","36","True","False","False",,,,,
"107","Mar 29, 2024 07:11:09.070352000 EDT","192.168.40.121","192.168.42.4","22","38032","36","True","False","False",,,,,
"108","Mar 29, 2024 07:11:09.090168000 EDT","192.168.42.4","192.168.40.121","38032","22","36","True","False","False",,,,,
"109","Mar 29, 2024 07:11:09.090388000 EDT","192.168.40.121","192.168.42.4","22","38032","36","True","False","False",,,,,
"110","Mar 29, 2024 07:11:09.090509000 EDT",,,,,,,,,"5353","5353","118",,
"111","Mar 29, 2024 07:11:09.090510000 EDT","192.168.42.163","224.0.0.251",,,,,,,"5353","5353","118",,
"112","Mar 29, 2024 07:11:09.112031000 EDT","192.168.42.4","192.168.40.121","38032","22","36","True","False","False",,,,,
"113","Mar 29, 2024 07:11:09.112236000 EDT","192.168.40.121","192.168.42.4","22","38032","36","True","False","False",,,,,
"114","Mar 29, 2024 07:11:09.132358000 EDT","192.168.42.4","192.168.40.121","38032","22","36","True","False","False",,,,,
"115","Mar 29, 2024 07:11:09.132531000 EDT","192.168.40.121","192.168.42.4","22","38032","36","True","False","False",,,,,
"116","Mar 29, 2024 07:11:09.152298000 EDT","192.168.42.4","192.168.40.121","38032","22","36","True","False","False",,,,,
"117","Mar 29, 2024 07:11:09.152477000 EDT","192.168.40.121","192.168.42.4","22","38032","36","True","False","False",,,,,
"118","Mar 29, 2024 07:11:09.173913000 EDT","192.168.42.4","192.168.40.121","38032","22","36","True","False","False",,,,,
"119","Mar 29, 2024 07:11:09.174326000 EDT","192.168.40.121","192.168.42.4","22","38032","36","True","False","False",,,,,
"120","Mar 29, 2024 07:11:09.195356000 EDT","192.168.42.4","192.168.40.121","38032","22","36","True","False","False",,,,,
"121","Mar 29, 2024 07:11:09.195541000 EDT","192.168.40.121","192.168.42.4","22","38032","36","True","False","False",,,,,
"122","Mar 29, 2024 07:11:09.215380000 EDT","192.168.42.4","192.168.40.121","38032","22","36","True","False","False",,,,,
"123","Mar 29, 2024 07:11:09.215545000 EDT","192.168.40.121","192.168.42.4","22","38032","36","True","False","False",,,,,
"124","Mar 29, 2024 07:11:09.236828000 EDT","192.168.42.4","192.168.40.121","38032","22","36","True","False","False",,,,,
"125","Mar 29, 2024 07:11:09.237696000 EDT","192.168.40.121","192.168.42.4","22","38032","36","True","False","False",,,,,
"126","Mar 29, 2024 07:11:09.258410000 EDT","192.168.42.4","192.168.40.121","38032","22","36","True","False","False",,,,,
"127","Mar 29, 2024 07:11:09.258547000 EDT","192.168.40.121","192.168.42.4","22","38032","36","True","False","False",,,,,
"128","Mar 29, 2024 07:11:09.279179000 EDT","192.168.42.4","192.168.40.121","38032","22","36","True","False","False",,,,,
"129","Mar 29, 2024 07:11:09.279443000 EDT","192.168.40.121","192.168.42.4","22","38032","36","True","False","False",,,,,
"130","Mar 29, 2024 07:11:09.300090000 EDT","192.168.42.4","192.168.40.121","38032","22","36","True","False","False",,,,,
"131","Mar 29, 2024 07:11:09.300367000 EDT","192.168.40.121","192.168.42.4","22","38032","36","True","False","False",,,,,
"132","Mar 29, 2024 07:11:09.320787000 EDT","192.168.42.4","192.168.40.121","38032","22","36","True","False","False",,,,,
"133","Mar 29, 2024 07:11:09.321025000 EDT","192.168.40.121","192.168.42.4","22","38032","36","True","False","False",,,,,
"134","Mar 29, 2024 07:11:09.341233000 EDT","192.168.42.4","192.168.40.121","38032","22","36","True","False","False",,,,,
"135","Mar 29, 2024 07:11:09.341428000 EDT","192.168.40.121","192.168.42.4","22","38032","36","True","False","False",,,,,
"136","Mar 29, 2024 07:11:09.361465000 EDT","192.168.42.4","192.168.40.121","38032","22","36","True","False","False",,,,,
"137","Mar 29, 2024 07:11:09.361746000 EDT","192.168.40.121","192.168.42.4","22","38032","36","True","False","False",,,,,
"138","Mar 29, 2024 07:11:09.383207000 EDT","192.168.42.4","192.168.40.121","38032","22","36","True","False","False",,,,,
"139","Mar 29, 2024 07:11:09.383449000 EDT","192.168.40.121","192.168.42.4","22","38032","36","True","False","False",,,,,
"140","Mar 29, 2024 07:11:09.403725000 EDT","192.168.42.4","192.168.40.121","38032","22","36","True","False","False",,,,,
"141","Mar 29, 2024 07:11:09.403943000 EDT","192.168.40.121","192.168.42.4","22","38032","36","True","False","False",,,,,
"142","Mar 29, 2024 07:11:09.445489000 EDT","192.168.42.4","192.168.40.121","38032","22","0","True","False","False",,,,,
"143","Mar 29, 2024 07:11:09.807787000 EDT",,,,,,,,,,,,,
"144","Mar 29, 2024 07:11:10.422665000 EDT",,,,,,,,,,,,,
"145","Mar 29, 2024 07:11:10.422667000 EDT",,,,,,,,,,,,,
"146","Mar 29, 2024 07:11:10.524782000 EDT",,,,,,,,,,,,,
"147","Mar 29, 2024 07:11:10.729829000 EDT","192.168.41.191","224.0.0.251",,,,,,,"5353","5353","102",,
"148","Mar 29, 2024 07:11:10.729831000 EDT",,,,,,,,,"5353","5353","102",,
"149","Mar 29, 2024 07:11:11.447012000 EDT",,,,,,,,,,,,,
"150","Mar 29, 2024 07:11:11.549469000 EDT",,,,,,,,,,,,,
"151","Mar 29, 2024 07:11:11.651952000 EDT",,,,,,,,,,,,,
"152","Mar 29, 2024 07:11:12.061724000 EDT","192.168.41.191","224.0.0.251",,,,,,,"5353","5353","125",,
"153","Mar 29, 2024 07:11:12.061725000 EDT",,,,,,,,,"5353","5353","125",,
"154","Mar 29, 2024 07:11:12.369131000 EDT",,,,,,,,,"5353","5353","125",,
"155","Mar 29, 2024 07:11:12.471387000 EDT",,,,,,,,,,,,,
"156","Mar 29, 2024 07:11:12.574164000 EDT",,,,,,,,,"5353","5353","125",,
"157","Mar 29, 2024 07:11:12.676491000 EDT",,,,,,,,,,,,,
"158","Mar 29, 2024 07:11:12.778993000 EDT","192.168.41.191","224.0.0.251",,,,,,,"5353","5353","374",,
"159","Mar 29, 2024 07:11:12.778995000 EDT",,,,,,,,,"5353","5353","374",,
"160","Mar 29, 2024 07:11:13.701116000 EDT",,,,,,,,,"5353","5353","102",,
"161","Mar 29, 2024 07:11:13.701118000 EDT",,,,,,,,,,,,,
"162","Mar 29, 2024 07:11:13.905783000 EDT",,,,,,,,,,,,,
"163","Mar 29, 2024 07:11:14.008224000 EDT",,,,,,,,,,,,,
"164","Mar 29, 2024 07:11:14.315381000 EDT",,,,,,,,,,,,,
"165","Mar 29, 2024 07:11:14.930277000 EDT",,,,,,,,,,,,,
"166","Mar 29, 2024 07:11:15.032644000 EDT",,,,,,,,,,,,,
"167","Mar 29, 2024 07:11:15.242219000 EDT",,,,,,,,,,,,,
"168","Mar 29, 2024 07:11:15.852741000 EDT",,,,,,,,,,,,,
"169","Mar 29, 2024 07:11:16.066852000 EDT",,,,,,,,,,,,,
"170","Mar 29, 2024 07:11:16.273200000 EDT",,,,,,,,,,,,,
"171","Mar 29, 2024 07:11:16.478144000 EDT",,,,,,,,,,,,,
"172","Mar 29, 2024 07:11:16.979354000 EDT",,,,,,,,,,,,,
"173","Mar 29, 2024 07:11:17.696499000 EDT",,,,,,,,,,,,,
"174","Mar 29, 2024 07:11:18.003928000 EDT",,,,,,,,,,,,,
"175","Mar 29, 2024 07:11:18.106264000 EDT","192.168.42.163","224.0.0.251",,,,,,,"5353","5353","118",,
"176","Mar 29, 2024 07:11:18.106266000 EDT",,,,,,,,,"5353","5353","118",,
"177","Mar 29, 2024 07:11:18.516239000 EDT",,,,,,,,,,,,,
"178","Mar 29, 2024 07:11:18.720898000 EDT",,,,,,,,,,,,,
"179","Mar 29, 2024 07:11:18.823463000 EDT","192.168.40.75","224.0.0.251",,,,,,,"5353","5353","118",,
"180","Mar 29, 2024 07:11:19.233271000 EDT",,,,,,,,,,,,,
"181","Mar 29, 2024 07:11:19.745684000 EDT",,,,,,,,,,,,,
"182","Mar 29, 2024 07:11:20.155113000 EDT",,,,,,,,,,,,,
"183","Mar 29, 2024 07:11:20.257567000 EDT",,,,,,,,,,,,,
"184","Mar 29, 2024 07:11:20.770017000 EDT","192.168.44.188","224.0.0.251",,,,,,,"5353","5353","69",,
"185","Mar 29, 2024 07:11:21.282262000 EDT",,,,,,,,,,,,,
"186","Mar 29, 2024 07:11:21.384864000 EDT",,,,,,,,,,,,,
